line,code,ebt_ef,ebt_nf,ebt_ep,ebt_np,ebt_suspiciousness,pbt_ef,pbt_nf,pbt_ep,pbt_np,pbt_suspiciousness
73,def _prepare_intervals(intervals: Iterable[object]) -> list[Interval]:,0,1,0,10,0.000000,0,3,0,3,0.000000
75,"if isinstance(intervals, (str, bytes)):",1,0,10,0,0.301511,3,0,3,0,0.707107
76,"raise TypeError(""intervalsには区間の反復可能オブジェクトを指定してください"")",0,1,0,10,0.000000,0,3,0,3,0.000000
78,"try:#関数への入力値intervals: Iterable[object]の中身を一つずつ取り出して,_coerce_intervalへと渡す",1,0,10,0,0.301511,3,0,3,0,0.707107
79,"prepared = [_coerce_interval(raw, index) for index, raw in enumerate(intervals)]",1,0,10,0,0.301511,3,0,3,0,0.707107
80,except TypeError:,0,1,4,6,0.000000,0,3,0,3,0.000000
81,raise,0,1,1,9,0.000000,0,3,0,3,0.000000
83,"prepared.sort(key=lambda interval: (interval.start, interval.end))",1,0,6,4,0.377964,3,0,3,0,0.707107
84,return prepared,1,0,6,4,0.377964,3,0,3,0,0.707107
86,"""""""重なる区間を統合し、始点順のタプルとして返す。",0,1,0,10,0.000000,0,3,0,3,0.000000
91,def merge_intervals(,0,1,0,10,0.000000,0,3,0,3,0.000000
98,prepared = _prepare_intervals(intervals),1,0,10,0,0.301511,3,0,3,0,0.707107
100,if not prepared:#入力された区間がないとき、空リストを返す,1,0,6,4,0.377964,3,0,3,0,0.707107
101,return [],0,1,1,9,0.000000,1,2,3,0,0.288675
106,merged: list[Interval] = [prepared[0]],1,0,5,5,0.408248,3,0,3,0,0.707107
109,for current in prepared[1:]:#2番目以降を順にみていく,1,0,5,5,0.408248,3,0,3,0,0.707107
110,last = merged[-1]#直前の区間,1,0,4,6,0.447214,3,0,3,0,0.707107
113,if merge_touching:#統合条件に端が接しているかどうかを考える,1,0,4,6,0.447214,3,0,3,0,0.707107
114,overlaps = current.start < last.end  # ミュータント（<= を < に変更）,1,0,3,7,0.500000,3,0,3,0,0.707107
116,overlaps = current.start < last.end,0,1,1,9,0.000000,0,3,0,3,0.000000
118,if not overlaps:,1,0,4,6,0.447214,3,0,3,0,0.707107
120,merged.append(current),1,0,3,7,0.500000,3,0,3,0,0.707107
121,elif current.end <= last.end:,0,1,2,8,0.000000,2,1,3,0,0.516398
123,continue,0,1,1,9,0.000000,2,1,3,0,0.516398
125,"merged[-1] = Interval(last.start, current.end)",0,1,1,9,0.000000,2,1,3,0,0.516398
127,return [interval.as_tuple() for interval in merged],1,0,5,5,0.408248,3,0,3,0,0.707107
